TrackingID	DateOrderTaken	CallNum/MSSNum	BibID	Collection	PatronName	Project	Deadline	PagesToDig	TotalNumImages	StorageFolder	SentSCETI	SCETIReceived	ReturnedSCETI	SCCReturned	MetadataComplete	MetadataBy	ImagingComplete	ImagingBy	ProcessingComplete	ProcessingBy	ProofPubl	ProofPublBy	ConditionNotes	NotesInstructions	RemovedProject	NumFoldouts	QA Failure	QA Pass
35		1041				NEH II									12/31/1899		1/24/2013		2/4/2013		12/5/2013	Jessie Dummer		"F: realign [ii verso]-1r, 7v-8r, 32v-43r, 60v-61r, 62v-64r, missing 68r - 11/1/2013 JD_x000D_
IB: Fixed 12/2/2013"	0		0	0
36		288				NEH II					12/10/2013	IB	1/10/2014	Jessie Dummer	12/31/1899		12/31/1899		12/31/1899		1/7/2014	Jessie Dummer		"body0563-4 not in network folder  [F: missing 283r-283v - 10/31/2013 JD]_x000D_
IB: need to shoot missing pages, send original"	0		0	0
37		775				NEH II					12/10/2013	IB	1/10/2014	Jessie Dummer	12/31/1899		12/31/1899		12/31/1899		12/13/2013	Jessie Dummer		"body0660 corrupted [F: 351v [=330v] is corrupted - 10/31/2013 JD]_x000D_
IB: fixed 12/4/2013"	0		0	0
38		14	1447442			NEH II			95						6/18/2013		6/28/2013	Craig Taylor	10/18/2013	Craig Taylor	11/4/2013	Jessie	Can be digitized as is, but conservation is recommended.		0		0	0
39		1544	4632135	Ms. Codex		NEH II		All	454	Pre1800MSS							1/9/2019	JDRothschild	5/10/2019	JDRothschild				"Conservation issues: a number of leaves are folded and sewn in so that text is obscured. Not 
finished being entered in the admin system as a result of this."	0		0	0
40		549	2486502	Ms. Codex		NEH II		All	347						3/7/2013	Marissa Hendriks							Conservation issues: several folded leaves at the end are fragile and cannot be digitized as is without risk of damage, 3/7/13		1		0	0
41		215	1580601	Ms. Codex		NEH II		All	321						7/3/2013	Marissa Hendriks							Conservation needed before digitization; rodent damage, mildew damage, and detached/torn leaves have made the manuscript too fragile to image without stabilizing it first, 7/3/13.		1		0	0
42		231	1551784			NEH II																	Conservation needed; needs disbinding and repairs to leaves and one large, badly damaged foldout. NMS recommended reshelving and removing from queue for now, 6/11/13		1		0	0
43		1635	826745			NEH II			225														Conservation needed; unable to review codex in its entirety due to ink oxidation damage. Cannot be photographed as is because book easel would further damage the paper along the gutter (6/12/13)		1		0	0
44		975				NEH II									2/25/2013								Conservation needed. May not be able to digitize due to brittleness of paper, 2/28/13.		1		0	0
45		453	2486624			NEH II			451						5/29/2013	Marissa Hendriks	7/24/2013	Alex Jordan	11/5/2013	Luong Huynh	11/8/2013	Jessie	Conservation required before digitization. Several printed foldouts are badly torn and risk further damage without repairs. Title page is also badly damaged due to ink oxidation. All conservation repairs completed as of 6/28/13. Ready to be digitized.		0		0	0
46		995	3751559	Ms. Codex		NEH II		All	157		7/29/2013	Ian Bogus	8/7/2013	Marissa Hendricks	7/25/2013	Marissa Hendriks	7/30/2013	Craig Taylor	9/13/2013	Craig Taylor	11/20/2013	Jessie Dummer		[F: Rectos and versos are switched after 105r - 10/30/2013  JD] (IB: this is a SCETI Admin problem. Removed blank pages and started back on a recto. There is nothing to show next to it and confused the system.. All files are present and ordered	0	4	0	0
47		1155	4294845			NEH II			425		1/6/2014	IB	1/10/2014	Jessie Dummer	3/26/2013		3/27/2013		10/16/2013	Evan Peugh	1/13/2014	Jessie Dummer		"IB: filenames fixed, but some images missing: body006-7, 0096-97, 0198-199, 0232-233, 400-end of body. Shoot missing._x000D_
F: missing 3v-4r, 48v-49r, 99v-100r, 116v-117r, 206r-206v - 12/3/2013"	0		0	0
48		1182				NEH II									3/22/2013									Digitization incomplete; camera operator stated that the codex is too heavy and the weight of the book itself would cause the binding to detach if shooting continued. Conservation probably wouldn't solve this unless the binding had extensive work done.	1		0	0
49		226	1580606			NEH II									6/26/2013	Marissa Hendriks	12/31/1899		12/31/1899		12/20/2013	Jessie Dummer	Fragile; many leaves detached.	"Digitized in 2008; images are good, but do not include flyleaves or binding. Ms. is quite fragile so will add to PiH as is without front/back matter images  _x000D_
F: realign p.16-37, 48-55 - 12/18/2013 JD"	0		0	0
50		11	1580207	Ms. Codex		NEH II		All	617						3/8/2012	Marissa Hendriks							Extensive conservation work needed before imaging (damaged foldouts)		1		0	0
51		1579				NEH II									1/4/2013		1/9/2013		12/31/1899		12/2/2013	Jessie Dummer		"f. 24r (body0047) needs recropping; back matter rectos/versos incorrect sequence; spine image needs to be re-sized (MH, 2/26/13)  [F: crop 24r, rectos and versos are out of order from [Flyleaf 1 recto-inside back cover] - 11/4/2013 JD]_x000D_
Fixed 11/21/13 C"	0		0	0
52		814				NEH II					12/17/2013	CL	1/10/2014	Jessie Dummer	12/31/1899		1/8/2013		12/31/1899		1/6/2014	Jessie Dummer		"f. 29r (body0057) missing from network folder (MH, 5/7/13) [F: missing 29r, realign 94v [=96v]-95r[=97r] - 10/31/2013 JD]_x000D_
fixed 11/21/13 CL_x000D_
IB: need original to shoot missing page 12/11/2013_x000D_
IB: Fixed 12/21/2013_x000D_
B: 29r is too dark - 1/6/2014 JAD"	0		0	0
53		1010				NEH II									1/16/2013		1/16/2013		12/31/1899		11/27/2013			"f. 51r not appearing; spine images needs to be re-sized [F: missing 51r 11/1/2013 JD]_x000D_
fixed 11/21/13 CL"	0		0	0
54		1043				NEH II									12/31/1899		1/15/2013		12/31/1899		12/18/2013	?		f. 87v, 88v, 103v need to be re-cropped, some back matter appears to be misnamed or missing (MH, 5/21/13)	0		0	0
55		1143				NEH II									3/26/2013		3/28/2013		12/31/1899		12/13/2013	Jessie Dummer		"files corrupted [F: missing front matter, p.470-690 - 11/1/2013 JD]_x000D_
IB: Fixed 12/2/2013"	0		0	0
56		1459	4473253			NEH II			589		1/6/2014	IB	1/10/2014	Jessie Dummer	12/31/1899		11/27/2012		12/31/1899		1/13/2014	Jessie Dummer		"Files missing from session_x000D_
F: missing 155v, 189v - 12/20/2013 JAD_x000D_
IB: should be okay now, 1/9/2014"	0		0	0
57		611				NEH II					12/10/2013	IB	1/10/2014	Jessie Dummer	12/31/1899		12/31/1899		12/31/1899		1/14/2014	Jessie Dummer		"Foldouts  [F: missing 2nd watercolor map (21v-[I verso]) - 11/4/2013 JD]_x000D_
IB: Send original to work out map issues. They may be present but we need to investigate 12/6/2013_x000D_
IB: Fixed 12/21/2013, admin to figure maps"	0		0	0
58		1242				NEH II									12/31/1899		12/31/1899		12/31/1899		2/14/2013			foldouts are re-sizing in DLA, but published nonetheless, 2/14/13	0		0	0
59		209	2486435			NEH II																		Foldouts would require stitching; skipped over for now, 1/23/13	1		0	0
60		Misc Mss 30	5914909			NEH II			2						3/7/2013		4/8/2013		11/27/2013		12/3/2013	Jessie Dummer		Found in NEH codex and cataloged separately by Amey	0		0	0
61		235	1580742	Ms. Codex		NEH II		All	462						6/10/2013	Marissa Hendriks							Very fragile; spine leather is completely lacking, boards are completely detached as are most quires/leaves and paper is very brittle. Should be stabilized before digitization.	fragile; should be shot as unbound item	1		0	0
62		187				NEH II									12/31/1899		12/31/1899		12/31/1899		12/9/2013	Jessie Dummer		"Front matter files missing from network          F: missing front matter, check filenames; missing 51r-250v check filenames - 10/31/2013 JD_x000D_
IB: Seems to look okay to me 12/6/2013"	0		0	0
63		1310	4434801			NEH II			335						12/31/1899	Marissa Hendriks	12/31/1899		12/20/2013	Ian Bogus	1/6/2014	Jessie Dummer		"Front matter not networked_x000D_
F: no images showing up on DLA, check filenames - 12/18/2013 JD_x000D_
IB: Fixed 12/21/2013"	0		0	0
